"";"gene_id";"gene_type"
"19657";"ENSG00000224338.2";"pseudogene"
"19660";"ENSG00000204624.6";"protein_coding"
"19775";"ENSG00000235643.1";"lincRNA"
"19780";"ENSG00000116661.9";"protein_coding"
"19817";"ENSG00000132879.9";"protein_coding"
"19959";"ENSG00000116663.6";"protein_coding"
"19993";"ENSG00000116670.10";"protein_coding"
"20155";"ENSG00000162490.6";"protein_coding"
"20175";"ENSG00000177674.11";"protein_coding"
"20333";"ENSG00000215910.3";"protein_coding"
"20481";"ENSG00000177553.6";"antisense"
"20486";"ENSG00000177000.6";"protein_coding"
"20641";"ENSG00000011021.17";"protein_coding"
"20899";"ENSG00000242349.1";"antisense"
"20909";"ENSG00000175206.6";"protein_coding"
"20932";"ENSG00000120937.8";"protein_coding"
"20944";"ENSG00000224904.1";"pseudogene"
"20947";"ENSG00000199347.1";"snRNA"
"20950";"ENSG00000201801.1";"snRNA"
"20953";"ENSG00000116685.11";"protein_coding"
"20974";"ENSG00000083444.12";"protein_coding"
"21132";"ENSG00000116688.12";"protein_coding"
"21242";"ENSG00000270914.1";"pseudogene"
"21245";"ENSG00000116691.6";"protein_coding"
"21328";"ENSG00000202461.1";"misc_RNA"
"21331";"ENSG00000243539.2";"misc_RNA"
"21334";"ENSG00000120949.10";"protein_coding"
"21456";"ENSG00000201135.1";"snRNA"
"21459";"ENSG00000227875.2";"pseudogene"
"21462";"ENSG00000028137.12";"protein_coding"
"21517";"ENSG00000263676.1";"miRNA"
"21520";"ENSG00000225196.2";"pseudogene"
"21523";"ENSG00000252969.1";"snoRNA"
"21526";"ENSG00000048707.9";"protein_coding"
"22068";"ENSG00000239149.1";"snoRNA"
"22071";"ENSG00000229484.1";"lincRNA"
"22075";"ENSG00000162496.4";"protein_coding"
"22112";"ENSG00000221340.1";"snRNA"
"22115";"ENSG00000272482.1";"lincRNA"
"22118";"ENSG00000204518.2";"protein_coding"
"22131";"ENSG00000226166.2";"pseudogene"
"22134";"ENSG00000188984.7";"protein_coding"
"22159";"ENSG00000238771.1";"snoRNA"
"22162";"ENSG00000157330.5";"protein_coding"
"22190";"ENSG00000116726.4";"protein_coding"
"22202";"ENSG00000116721.9";"protein_coding"
"22225";"ENSG00000228338.1";"lincRNA"
"22229";"ENSG00000204513.5";"protein_coding"
"22254";"ENSG00000231103.2";"pseudogene"
"22260";"ENSG00000179172.7";"protein_coding"
"22270";"ENSG00000120952.4";"protein_coding"
"22284";"ENSG00000243073.3";"protein_coding"
"22298";"ENSG00000187545.5";"protein_coding"
"22312";"ENSG00000204510.1";"protein_coding"
"22336";"ENSG00000207434.1";"snRNA"
"22339";"ENSG00000234064.1";"pseudogene"
"22343";"ENSG00000232423.3";"protein_coding"
"22419";"ENSG00000250894.1";"pseudogene"
"22424";"ENSG00000204508.3";"protein_coding"
"22435";"ENSG00000239810.2";"protein_coding"
"22441";"ENSG00000270601.1";"pseudogene"
"22446";"ENSG00000250113.1";"pseudogene"
"22451";"ENSG00000204505.3";"pseudogene"
"22456";"ENSG00000233336.1";"lincRNA"
"22460";"ENSG00000229978.1";"pseudogene"
"22468";"ENSG00000236179.1";"pseudogene"
"22472";"ENSG00000179412.8";"pseudogene"
"22478";"ENSG00000224199.1";"pseudogene"
"22483";"ENSG00000229571.2";"protein_coding"
"22491";"ENSG00000204503.5";"protein_coding"
"22514";"ENSG00000233394.1";"pseudogene"
"22519";"ENSG00000204502.2";"protein_coding"
"22533";"ENSG00000231219.1";"pseudogene"
"22537";"ENSG00000207511.1";"snRNA"
"22540";"ENSG00000182330.6";"protein_coding"
"22554";"ENSG00000237700.1";"pseudogene"
"22559";"ENSG00000204501.2";"protein_coding"
"22573";"ENSG00000228229.2";"lincRNA"
"22577";"ENSG00000204495.3";"protein_coding"
"22591";"ENSG00000204491.2";"protein_coding"
"22602";"ENSG00000204488.3";"protein_coding"
"22614";"ENSG00000204486.3";"protein_coding"
"22638";"ENSG00000204485.2";"pseudogene"
"22648";"ENSG00000224581.1";"pseudogene"
"22653";"ENSG00000157358.7";"protein_coding"
"22667";"ENSG00000204481.6";"protein_coding"
"22697";"ENSG00000204480.6";"protein_coding"
"22719";"ENSG00000204479.4";"protein_coding"
"22731";"ENSG00000204478.5";"protein_coding"
"22756";"ENSG00000162494.5";"protein_coding"
"22766";"ENSG00000259961.1";"antisense"
"22771";"ENSG00000215909.3";"pseudogene"
"22775";"ENSG00000162493.12";"protein_coding"
"22934";"ENSG00000222952.1";"rRNA"
"22937";"ENSG00000266358.1";"miRNA"
"22940";"ENSG00000237445.2";"lincRNA"
"22944";"ENSG00000253085.1";"snoRNA"
"22947";"ENSG00000116731.18";"protein_coding"
"23137";"ENSG00000252151.1";"snRNA"
"23140";"ENSG00000231606.1";"lincRNA"
"23144";"ENSG00000234593.1";"lincRNA"
"23148";"ENSG00000189337.11";"protein_coding"
"23312";"ENSG00000235829.1";"pseudogene"
"23316";"ENSG00000175147.7";"processed_transcript"
"23330";"ENSG00000171729.9";"protein_coding"
"23401";"ENSG00000204464.3";"protein_coding"
"23419";"ENSG00000215720.4";"pseudogene"
"23423";"ENSG00000142621.15";"protein_coding"
"24017";"ENSG00000233485.1";"antisense"
"24021";"ENSG00000236045.1";"antisense"
"24025";"ENSG00000228140.1";"lincRNA"
"24030";"ENSG00000142634.8";"protein_coding"
"24057";"ENSG00000162438.7";"protein_coding"
"24105";"ENSG00000142615.7";"protein_coding"
"24135";"ENSG00000215704.5";"protein_coding"
"24177";"ENSG00000132906.13";"protein_coding"
"24354";"ENSG00000116138.8";"protein_coding"
"24528";"ENSG00000251866.1";"snoRNA"
"24531";"ENSG00000272510.1";"antisense"
"24534";"ENSG00000116771.5";"protein_coding"
"24554";"ENSG00000237301.1";"antisense"
"24558";"ENSG00000235084.2";"pseudogene"
"24563";"ENSG00000252417.1";"snRNA"
"24566";"ENSG00000236500.1";"pseudogene"
"24569";"ENSG00000197312.7";"protein_coding"
"24636";"ENSG00000215695.1";"protein_coding"
"24643";"ENSG00000271742.1";"lincRNA"
"24646";"ENSG00000116786.7";"protein_coding"
"24749";"ENSG00000264048.1";"miRNA"
"24752";"ENSG00000237938.1";"antisense"
"24758";"ENSG00000162461.7";"protein_coding"
"24782";"ENSG00000224459.1";"antisense"
"24786";"ENSG00000162460.6";"protein_coding"
"24808";"ENSG00000162458.8";"protein_coding"
"25016";"ENSG00000224321.1";"pseudogene"
"25019";"ENSG00000233954.4";"pseudogene"
"25024";"ENSG00000178715.7";"pseudogene"
"25029";"ENSG00000179743.2";"antisense"
"25035";"ENSG00000065526.6";"protein_coding"
"25103";"ENSG00000238818.1";"snoRNA"
"25106";"ENSG00000270620.1";"pseudogene"
"25109";"ENSG00000116809.7";"protein_coding"
"25311";"ENSG00000234607.2";"pseudogene"
"25314";"ENSG00000231353.1";"pseudogene"
"25317";"ENSG00000224966.4";"pseudogene"
"25327";"ENSG00000183888.4";"protein_coding"
"25337";"ENSG00000233078.1";"antisense"
"25341";"ENSG00000173641.13";"protein_coding"
"25421";"ENSG00000186510.7";"protein_coding"
"25647";"ENSG00000232456.1";"pseudogene"
"25654";"ENSG00000184908.13";"protein_coding"
"25744";"ENSG00000185519.8";"protein_coding"
"25771";"ENSG00000142627.9";"protein_coding"
"25824";"ENSG00000227959.1";"antisense"
"25828";"ENSG00000224621.1";"antisense"
"25832";"ENSG00000234166.1";"antisense"
"25836";"ENSG00000142632.12";"protein_coding"
"25916";"ENSG00000237276.4";"pseudogene"
"25942";"ENSG00000204377.3";"protein_coding"
"25951";"ENSG00000132881.7";"protein_coding"
"25976";"ENSG00000233929.1";"pseudogene"
"25979";"ENSG00000037637.6";"protein_coding"
"26029";"ENSG00000055070.12";"protein_coding"
"26130";"ENSG00000226457.1";"pseudogene"
"26133";"ENSG00000187144.7";"protein_coding"
"26238";"ENSG00000157191.15";"protein_coding"
"26438";"ENSG00000226029.1";"lincRNA"
"26442";"ENSG00000080947.10";"pseudogene"
"26499";"ENSG00000206652.1";"snRNA"
"26502";"ENSG00000261135.1";"lincRNA"
"26505";"ENSG00000224174.2";"lincRNA"
"26509";"ENSG00000233421.3";"lincRNA"
